,ZipCode,Population,CaseCountCumulative,CaseCount30,CaseCount14,CaseCountPer100KCumulative,CaseCountPer100K30,CaseCountPer100K14
0,43081,61572.0,4136.0,947.0,335.0,6717.3,1538.0,544.1
1,43085,26216.0,1575.0,341.0,114.0,6007.8,1300.7,434.8
2,43201,33455.0,4125.0,400.0,167.0,12330.0,1195.6,499.2
3,43202,21141.0,1210.0,247.0,110.0,5723.5,1168.3,520.3
4,43203,8368.0,582.0,99.0,48.0,6955.1,1183.1,573.6
5,43204,42463.0,2743.0,599.0,250.0,6459.7,1410.6,588.7
6,43205,12725.0,814.0,195.0,82.0,6396.9,1532.4,644.4
7,43206,22677.0,1400.0,298.0,124.0,6173.7,1314.1,546.8
8,43207,47265.0,3130.0,742.0,321.0,6622.2,1569.9,679.1
9,43209,28516.0,1579.0,352.0,130.0,5537.2,1234.4,455.9
10,43210,12530.0,1361.0,20.0,9.0,10861.9,159.6,71.8
11,43211,23453.0,1193.0,202.0,79.0,5086.8,861.3,336.8
12,43212,21350.0,1709.0,431.0,176.0,8004.7,2018.7,824.4
13,43213,33551.0,2427.0,434.0,164.0,7233.8,1293.6,488.8
14,43214,26229.0,1568.0,382.0,169.0,5978.1,1456.4,644.3
15,43215,14440.0,1844.0,337.0,131.0,12770.1,2333.8,907.2
16,43217,2440.0,144.0,51.0,13.0,5901.6,2090.2,532.8
17,43219,30526.0,2485.0,372.0,152.0,8140.6,1218.6,497.9
18,43220,26549.0,1743.0,432.0,191.0,6565.2,1627.2,719.4
19,43221,32913.0,1944.0,527.0,244.0,5906.5,1601.2,741.3
20,43222,4529.0,312.0,44.0,18.0,6888.9,971.5,397.4
21,43223,25963.0,2122.0,404.0,178.0,8173.2,1556.1,685.6
22,43224,44678.0,3038.0,513.0,189.0,6799.8,1148.2,423.0
23,43227,24296.0,1711.0,319.0,114.0,7042.3,1313.0,469.2
24,43228,54362.0,4502.0,1036.0,462.0,8281.5,1905.7,849.9
25,43229,53693.0,4610.0,779.0,308.0,8585.8,1450.8,573.6
26,43230,58167.0,4008.0,934.0,407.0,6890.5,1605.7,699.7
27,43231,21828.0,1962.0,352.0,117.0,8988.5,1612.6,536.0
28,43232,45352.0,3135.0,607.0,243.0,6912.6,1338.4,535.8
29,43235,42673.0,2918.0,694.0,263.0,6838.0,1626.3,616.3
30,43240,4295.0,411.0,96.0,41.0,9569.3,2235.2,954.6
